stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\projects\MathWay\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.22720] added dtor for sub_bitmap 0000021CBEDCA6D0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.22768] added dtor for sub_bitmap 0000021CBEDE8600, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.22816] added dtor for sub_bitmap 0000021CBEDE7490, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.22873] added dtor for sub_bitmap 0000021CBEDE68F0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.22907] added dtor for sub_bitmap 0000021CBEDE6AE0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.22927] added dtor for sub_bitmap 0000021CBEDE7870, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.22984] added dtor for sub_bitmap 0000021CBEDE8030, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23000] added dtor for sub_bitmap 0000021CBEDE7E40, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23023] added dtor for sub_bitmap 0000021CBEDE8220, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23103] added dtor for sub_bitmap 0000021CBEDE6CD0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23157] added dtor for sub_bitmap 0000021CBEDE7680, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23178] added dtor for sub_bitmap 0000021CBEDE8410, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23189] added dtor for sub_bitmap 0000021CBEDE6EC0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23198] added dtor for sub_bitmap 0000021CBEDE70B0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23207] added dtor for sub_bitmap 0000021CBEDE7A60, func 00007FFC8DEE118B
